Location,Date,Age,Length
AL,5/15/2000,2,132
AL,5/15/2000,2,128
AL,5/15/2000,2,126
AL,5/19/1998,2,130
AL,5/15/2000,2,154
AL,5/15/2000,2,137
AL,5/15/2000,2,115
AL,5/15/2000,2,125
AL,5/15/2000,2,143
AL,5/15/2000,2,126
AL,5/15/2000,2,126
AL,5/15/2000,2,136
AL,5/15/2000,2,116
AL,5/15/2000,2,145
AL,5/15/2000,2,131
AL,5/15/2000,2,118
AL,5/15/2000,2,125
AL,5/17/2000,2,126
AL,5/17/2000,2,130
AL,5/17/2000,2,148
AL,5/17/2000,2,126
AL,5/17/2000,2,127
AL,5/17/2000,2,123
AL,5/17/2000,2,138
AL,5/17/2000,2,141
AL,5/22/2000,2,122
AL,5/22/2000,2,117
AL,5/22/2000,2,125
AL,5/22/2000,2,136
AL,5/22/2000,2,147
AL,5/22/2000,2,140
AL,5/26/2000,2,
AL,5/26/2000,2,
AL,5/26/2000,2,
AL,5/26/2000,2,
AL,5/26/2000,2,
AL,5/26/2000,2,
AL,6/2/2000,2,157
AL,6/2/2000,2,151
AL,6/2/2000,2,120
AL,5/10/1994,1,90
AL,5/11/1994,1,87
AL,5/12/1994,1,86
AL,5/13/1994,1,90
AL,5/14/1994,1,86
AL,5/14/1994,1,
AL,5/15/1994,1,89
AL,5/15/1994,1,86
AL,5/15/1994,1,92
AL,5/15/1994,1,85
AL,5/15/1994,1,83
AL,5/15/1994,1,91
AL,5/15/1994,1,
AL,5/15/1994,1,
AL,5/16/1994,1,89
AL,5/16/1994,1,90
AL,5/16/1994,1,90
AL,5/16/1994,1,87
AL,5/17/1994,1,98
AL,5/17/1994,1,86
AL,5/17/1994,1,110
AL,5/17/1994,1,97
AL,5/17/1994,1,98
AL,5/17/1994,1,106
AL,5/17/1994,1,100
AL,5/17/1994,1,98
AL,5/17/1994,1,101
AL,5/17/1994,1,98
AL,5/17/1994,1,109
AL,5/17/1994,1,100
AL,5/17/1994,1,91
AL,5/17/1994,1,97
AL,5/18/1994,1,85
AL,5/18/1994,1,95
AL,5/18/1994,1,97
AL,5/18/1994,1,94
AL,5/18/1994,1,100
AL,5/18/1994,1,111
AL,5/18/1994,1,109
AL,5/18/1994,1,106
AL,5/18/1994,1,96
AL,5/18/1994,1,99
AL,5/19/1994,1,89
AL,5/19/1994,1,97
AL,5/19/1994,1,99
AL,5/19/1994,1,97
AL,5/19/1994,1,102
AL,5/19/1994,1,106
AL,5/19/1994,1,97
AL,5/19/1994,1,93
AL,5/19/1994,1,100
AL,5/19/1994,1,106
AL,5/20/1994,1,78
AL,5/20/1994,1,83
AL,5/20/1994,1,84
AL,5/20/1994,1,88
AL,5/20/1994,1,93
AL,5/20/1994,1,101
AL,5/20/1994,1,108
AL,5/21/1994,1,83
AL,5/21/1994,1,88
AL,5/21/1994,1,85
AL,5/21/1994,1,83
AL,5/21/1994,1,86
AL,5/21/1994,1,90
AL,5/23/1994,1,89
AL,5/24/1994,1,89
AL,5/24/1994,1,85
AL,5/24/1994,1,94
AL,5/24/1994,1,103
AL,5/24/1994,1,107
AL,5/24/1994,1,101
AL,5/24/1994,1,96
AL,5/24/1994,1,101
AL,5/24/1994,1,95
AL,5/24/1994,1,110
AL,5/25/1994,1,88
AL,5/25/1994,1,88
AL,5/25/1994,1,84
AL,5/25/1994,1,96
AL,5/25/1994,1,102
AL,5/25/1994,1,107
AL,5/25/1994,1,108
AL,5/25/1994,1,105
AL,5/25/1994,1,98
AL,5/25/1994,1,100
AL,5/25/1994,1,107
AL,5/26/1994,1,91
AL,5/26/1994,1,99
AL,5/26/1994,1,97
AL,5/26/1994,1,97
AL,5/26/1994,1,99
AL,5/26/1994,1,109
AL,5/26/1994,1,108
AL,5/26/1994,1,97
AL,5/26/1994,1,108
AL,5/26/1994,1,107
AL,5/27/1994,1,86
AL,5/27/1994,1,104
AL,5/27/1994,1,109
AL,5/27/1994,1,95
AL,5/27/1994,1,96
AL,5/27/1994,1,102
AL,5/28/1994,1,88
AL,6/1/1994,1,88
AL,5/2/1995,2,152
AL,5/2/1995,2,144
AL,5/4/1995,2,117
AL,5/4/1995,2,121
AL,5/4/1995,2,139
AL,5/4/1995,2,169
AL,5/9/1995,2,173
AL,5/12/1995,2,114
AL,5/12/1995,2,126
AL,5/12/1995,2,121
AL,5/13/1995,2,124
AL,5/13/1995,2,123
AL,5/15/1995,2,116
AL,5/15/1995,2,122
AL,5/15/1995,2,133
AL,5/15/1995,2,137
AL,5/15/1995,2,133
AL,5/15/1995,2,119
AL,5/15/1995,2,129
AL,5/15/1995,2,123
AL,5/15/1995,2,125
AL,5/15/1995,2,124
AL,5/15/1995,2,118
AL,5/15/1995,2,124
AL,5/15/1995,2,123
AL,5/15/1995,2,134
AL,5/15/1995,2,124
AL,5/15/1995,2,126
AL,5/15/1995,2,124
AL,5/15/1995,2,125
AL,5/15/1995,2,123
AL,5/16/1995,2,158
AL,5/17/1995,2,132
AL,5/17/1995,2,126
AL,5/17/1995,2,127
AL,5/17/1995,2,135
AL,5/17/1995,2,142
AL,5/17/1995,2,129
AL,5/18/1995,2,138
AL,5/18/1995,2,123
AL,5/18/1995,2,119
AL,5/18/1995,2,138
AL,5/21/1995,2,133
AL,5/21/1995,2,130
AL,5/22/1995,2,134
AL,5/22/1995,2,132
AL,5/22/1995,2,133
AL,5/23/1995,2,124
AL,5/24/1995,2,94
AL,5/24/1995,2,130
AL,5/25/1995,2,127
AL,5/26/1995,2,125
AL,5/28/1995,2,117
AL,5/31/1995,2,107
AL,6/5/1995,2,116
AL,5/14/1997,2,140
AL,5/14/1997,2,150
AL,5/14/1997,2,141
AL,5/15/1997,2,134
AL,5/17/1997,2,137
AL,5/17/1997,2,130
AL,5/19/1997,2,130
AL,5/20/1997,2,128
AL,5/21/1997,2,132
AL,5/22/1997,2,132
AL,5/23/1997,2,134
AL,5/19/1998,1,114
AL,5/19/1998,1,120
AL,5/19/1998,1,93
AL,5/19/1998,1,102
AL,5/19/1998,1,123
AL,5/19/1998,1,103
AL,5/19/1998,1,121
AL,5/19/1998,1,116
AL,5/19/1998,1,125
AL,5/19/1998,1,93
AL,5/19/1998,1,97
AL,5/19/1998,1,115
AL,5/19/1998,1,100
AL,5/19/1998,1,121
AL,5/19/1998,1,123
AL,5/19/1998,1,92
AL,5/19/1998,1,95
AL,5/19/1998,1,97
AL,5/19/1998,1,110
AL,5/19/1998,1,120
AL,5/19/1998,1,129
AL,5/19/1998,1,115
AL,5/19/1998,1,123
AL,5/19/1998,1,107
AL,5/19/1998,1,117
AL,5/19/1998,1,133
AL,5/19/1998,1,123
AL,5/19/1998,1,118
AL,5/19/1998,1,125
AL,5/19/1998,1,110
AL,5/19/1998,1,115
AL,5/19/1998,1,129
AL,5/19/1998,1,90
AL,5/19/1998,1,132
AL,5/19/1998,1,89
AL,5/19/1998,1,115
AL,5/19/1998,1,129
AL,5/19/1998,1,111
AL,5/19/1998,1,104
AL,5/19/1998,1,88
AL,5/19/1998,1,92
AL,5/19/1998,1,97
AL,5/19/1998,1,100
AL,5/21/1998,1,129
AL,5/21/1998,1,119
AL,5/21/1998,1,115
AL,5/21/1998,1,125
AL,5/21/1998,1,120
AL,5/21/1998,1,104
AL,5/21/1998,1,104
AL,5/21/1998,1,112
AL,5/21/1998,1,115
AL,5/21/1998,1,112
AL,5/21/1998,1,121
AL,5/21/1998,1,104
AL,5/21/1998,1,92
AL,5/21/1998,1,125
AL,5/21/1998,1,117
AL,5/21/1998,1,121
AL,5/21/1998,1,130
AL,5/21/1998,1,123
AL,5/21/1998,1,124
AL,5/21/1998,1,98
AL,5/21/1998,1,125
AL,5/21/1998,1,126
AL,5/21/1998,1,102
AL,5/21/1998,1,116
AL,5/21/1998,1,98
AL,5/21/1998,1,99
AL,5/21/1998,1,99
AL,5/21/1998,1,94
AL,5/21/1998,1,121
AL,5/21/1998,1,100
AL,5/21/1998,1,94
AL,5/21/1998,1,103
AL,5/21/1998,1,130
AL,5/21/1998,1,120
AL,5/21/1998,1,117
AL,5/21/1998,1,93
AL,5/21/1998,1,120
AL,5/21/1998,1,121
AL,5/21/1998,1,121
AL,5/21/1998,1,98
AL,5/21/1998,1,134
AL,5/21/1998,1,115
AL,5/21/1998,1,105
AL,5/21/1998,1,135
BR,5/8/2000,1,116
BR,5/8/2000,1,91
BR,5/8/2000,1,89
BR,5/8/2000,1,87
BR,5/8/2000,1,82
BR,5/11/2000,1,84
BR,5/12/2000,1,91
BR,5/12/2000,1,86
BR,5/13/2000,1,101
BR,5/13/2000,1,107
BR,5/13/2000,1,107
BR,5/14/2000,1,94
BR,5/14/2000,1,102
BR,5/15/2000,1,105
BR,5/15/2000,1,90
BR,5/15/2000,1,107
BR,5/15/2000,1,91
BR,5/15/2000,1,91
BR,5/15/2000,1,100
BR,5/15/2000,1,97
BR,5/16/2000,1,93
BR,5/16/2000,1,91
BR,5/16/2000,1,101
BR,5/16/2000,1,97
BR,5/16/2000,1,109
BR,5/16/2000,1,94
BR,5/17/2000,1,113
BR,5/17/2000,1,
BR,5/17/2000,1,95
BR,5/17/2000,1,88
BR,5/17/2000,1,105
BR,5/17/2000,1,96
BR,5/17/2000,1,103
BR,5/18/2000,1,97
BR,5/18/2000,1,99
BR,5/18/2000,1,81
BR,5/18/2000,1,95
BR,5/18/2000,1,91
BR,5/18/2000,1,98
BR,5/18/2000,1,97
BR,5/18/2000,1,105
BR,5/18/2000,1,95
BR,5/18/2000,1,87
BR,5/18/2000,1,95
BR,5/18/2000,1,91
BR,5/18/2000,1,102
BR,5/18/2000,1,94
BR,5/19/2000,1,92
BR,5/19/2000,1,103
BR,5/19/2000,1,90
BR,5/19/2000,1,89
BR,5/19/2000,1,105
BR,5/19/2000,1,97
BR,5/19/2000,1,99
BR,5/19/2000,1,104
BR,5/19/2000,1,103
BR,5/19/2000,1,95
BR,5/19/2000,1,84
BR,5/19/2000,1,102
BR,5/19/2000,1,90
BR,5/19/2000,1,95
BR,5/19/2000,1,92
BR,5/19/2000,1,91
BR,5/19/2000,1,85
BR,5/20/2000,1,95
BR,5/20/2000,1,92
BR,5/20/2000,1,113
BR,5/20/2000,1,97
BR,5/20/2000,1,97
BR,5/20/2000,1,106
BR,5/20/2000,1,98
BR,5/20/2000,1,92
BR,5/20/2000,1,89
BR,5/21/2000,1,106
BR,5/22/2000,1,92
BR,5/22/2000,1,100
BR,5/23/2000,1,87
BR,5/23/2000,1,108
BR,5/23/2000,1,107
BR,5/23/2000,1,90
BR,5/23/2000,1,88
BR,5/24/2000,1,95
BR,5/24/2000,1,92
BR,5/24/2000,1,91
BR,5/24/2000,1,94
BR,5/24/2000,1,100
BR,5/24/2000,1,94
BR,5/25/2000,1,87
BR,5/25/2000,1,94
BR,5/25/2000,1,88
BR,5/25/2000,1,97
BR,5/25/2000,1,117
BR,5/25/2000,1,90
BR,5/26/2000,1,102
BR,5/26/2000,1,113
BR,5/26/2000,1,97
BR,5/26/2000,1,98
BR,5/26/2000,1,92
BR,5/26/2000,1,117
BR,5/27/2000,1,92
BR,5/27/2000,1,103
BR,5/27/2000,1,108
BR,5/27/2000,1,105
BR,5/27/2000,1,98
BR,5/27/2000,1,101
BR,5/27/2000,1,96
